name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Mansoura, Egypt",2016-03-11,29.3,11.9,19.2,27.6,11.9,18.9,9.1,60.5,0,0,0,,,,,26.3,74.4,1016.6,25.8,9,255.1,21.8,9,,2016-03-11T06:09:04,2016-03-11T18:00:11,0.08,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2016-03-12,28.7,14.4,19.2,27.1,14.4,19.1,7.2,53.1,0,0,0,,,,,31.7,81.7,1014.6,66.8,10,172,15,8,,2016-03-12T06:07:51,2016-03-12T18:00:51,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2016-03-13,33.5,16.8,23,31,16.8,22.6,9,47.5,5.5,100,12.5,rain,,,,25.6,195.5,1008.6,50.9,10,185.2,15.9,7,,2016-03-13T06:06:38,2016-03-13T18:01:32,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"62325099999,remote"
"Mansoura, Egypt",2016-03-14,24.6,13.4,18.4,24.6,13.4,18.4,8.4,56.5,0,0,0,,,,,31.7,261.7,1012.6,4.8,10,264.3,22.8,9,,2016-03-14T06:05:24,2016-03-14T18:02:12,0.19,Clear,Clear conditions throughout the day.,clear-day,"62325099999,remote"
"Mansoura, Egypt",2016-03-15,22.8,12.1,16.9,22.8,12.1,16.9,8.2,58.6,0,0,0,,,,,30.2,272.8,1016.1,14.9,10,255.9,22,9,,2016-03-15T06:04:10,2016-03-15T18:02:53,0.25,Clear,Clear conditions throughout the day.,clear-day,"62325099999,remote"
"Mansoura, Egypt",2016-03-16,22.9,9.3,15.9,22.9,7.9,15.8,9.1,67.9,0.2,100,8.33,rain,,,,23,295,1019.4,17.6,10,253.7,21.9,8,,2016-03-16T06:02:56,2016-03-16T18:03:33,0.25,Rain,Clear conditions throughout the day with morning rain.,rain,"62325099999,remote"
"Mansoura, Egypt",2016-03-17,23.4,9.6,15.8,23.4,8.7,15.7,8.5,65.7,0,0,0,,,,,19.8,322.9,1022.7,7.5,10,272.3,23.7,9,,2016-03-17T06:01:42,2016-03-17T18:04:12,0.29,Clear,Clear conditions throughout the day.,clear-day,"62325099999,remote"
"Mansoura, Egypt",2016-03-18,25.8,8.7,16.4,25.8,8.1,16.3,7.2,61,0,0,0,,,,,14.8,50.5,1020.6,0,10,276,23.8,9,,2016-03-18T06:00:27,2016-03-18T18:04:52,0.32,Clear,Clear conditions throughout the day.,clear-day,"62325099999,remote"
"Mansoura, Egypt",2016-03-19,31.5,10.6,19.7,29.3,10.6,19.3,6.6,51.7,0,0,0,,,,,28.1,244.5,1012.9,31.4,10,249.8,21.6,9,,2016-03-19T05:59:13,2016-03-19T18:05:32,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2016-03-20,24.2,10.7,16.7,24.2,10.7,16.7,9.1,65.3,0,0,0,,,,,26.3,309.7,1016.1,15.1,10,265.1,22.8,9,,2016-03-20T05:57:58,2016-03-20T18:06:11,0.39,Clear,Clear conditions throughout the day.,clear-day,"62325099999,remote"
"Mansoura, Egypt",2016-03-21,24.8,9.9,16.5,24.8,8.4,16.4,6.8,59.6,0,0,0,,,,,23.4,326.4,1020.5,6.2,10,286.1,24.6,9,,2016-03-21T05:56:43,2016-03-21T18:06:50,0.43,Clear,Clear conditions throughout the day.,clear-day,"62325099999,remote"
"Mansoura, Egypt",2016-03-22,26.3,10.1,17.3,26.3,10.1,17.3,7.1,58.8,0,0,0,,,,,16.2,30.6,1020.7,0.1,10,285,24.7,9,,2016-03-22T05:55:28,2016-03-22T18:07:29,0.46,Clear,Clear conditions throughout the day.,clear-day,"62325099999,remote"
"Mansoura, Egypt",2016-03-23,29.3,9.6,18.9,27.6,8,18.5,5.2,51.2,0,0,0,,,,,21.6,140,1014.9,56.6,10,163,14.1,6,,2016-03-23T05:54:13,2016-03-23T18:08:08,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2016-03-24,28.6,15.7,20.5,27,15.7,20.3,2.1,35.5,0,0,0,,,,,23.8,233.4,1011.6,66.6,10,131.9,11.5,5,,2016-03-24T05:52:58,2016-03-24T18:08:47,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2016-03-25,28.3,14.5,20.1,26.8,14.5,20,8.7,54.4,0,0,0,,,,,22.3,78.4,1013.3,74.1,10,127.9,10.9,5,,2016-03-25T05:51:43,2016-03-25T18:09:26,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2016-03-26,24.4,15.9,19.7,24.4,15.9,19.7,11.5,60.9,0,0,0,,,,,21.2,331.9,1011.8,74.3,10,72.1,6.2,3,,2016-03-26T05:50:28,2016-03-26T18:10:05,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2016-03-27,24,11.5,16.8,24,11.5,16.8,8.4,61.3,0,0,0,,,,,28.8,314.6,1013.8,11,10,279.2,24.1,9,,2016-03-27T05:49:13,2016-03-27T18:10:43,0.63,Clear,Clear conditions throughout the day.,clear-day,"62325099999,remote"
"Mansoura, Egypt",2016-03-28,23.5,10.5,16.1,23.5,10.5,16.1,7.8,61.5,0,0,0,,,,,28.1,293.4,1015.8,11.3,10,286.9,24.8,9,,2016-03-28T05:47:58,2016-03-28T18:11:22,0.66,Clear,Clear conditions throughout the day.,clear-day,"62325099999,remote"
"Mansoura, Egypt",2016-03-29,24.3,10,15.8,24.3,8.4,15.8,6,57.2,0,0,0,,,,,24.5,327.5,1020.8,16.5,10,287.4,24.9,10,,2016-03-29T05:46:44,2016-03-29T18:12:01,0.7,Clear,Clear conditions throughout the day.,clear-day,"62325099999,remote"
