name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Mansoura, Egypt",2023-01-01,21.7,10.9,15.7,21.7,10.9,15.7,11.1,75.9,0,0,0,,0,0,35.3,16.9,16.2,1022,55.7,21.8,115,9.8,5,10,2023-01-01T06:52:51,2023-01-01T17:03:08,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-01-02,22.8,11.2,15.8,22.8,11.2,15.8,11.6,78.6,0,0,0,,0,0,37.1,18.4,57.8,1021.2,24.7,21.8,140.3,12.2,6,10,2023-01-02T06:53:05,2023-01-02T17:03:51,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-01-03,20.4,11.1,14.9,20.4,11.1,14.9,11.6,81.7,0.3,100,8.33,rain,0,0,29.5,14.4,8.1,1021,58.5,20.4,87.1,7.6,4,10,2023-01-03T06:53:17,2023-01-03T17:04:35,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"62325099999,remote"
"Mansoura, Egypt",2023-01-04,19.8,11.7,15.2,19.8,11.7,15.2,11.5,79.8,0.3,100,12.5,rain,0,0,31,13,325.5,1021.3,39.7,21.8,136.1,11.8,6,10,2023-01-04T06:53:27,2023-01-04T17:05:20,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"62325099999,remote"
"Mansoura, Egypt",2023-01-05,20.9,10.5,15.2,20.9,10.5,15.2,10.1,74.3,0,0,0,,0,0,28.4,14,251.4,1021.8,51.2,22.3,145.6,12.6,6,10,2023-01-05T06:53:36,2023-01-05T17:06:06,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-01-06,21.1,10.9,15.7,21.1,10.9,15.7,9.5,68,0,0,0,,0,0,27.4,13,254.4,1022.1,57.1,22.3,89.2,7.6,4,10,2023-01-06T06:53:43,2023-01-06T17:06:53,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-01-07,21,9.5,15.2,21,9,15.1,10.4,75.5,0.3,100,8.33,rain,0,0,20.2,9.4,237,1021,49.4,21.1,48.6,4.1,3,10,2023-01-07T06:53:48,2023-01-07T17:07:41,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"62325099999,remote"
"Mansoura, Egypt",2023-01-08,20.5,9.3,14.7,20.5,9.3,14.7,10.9,80.2,1.7,100,12.5,rain,0,0,34.6,14.4,262.7,1017.2,53.3,21.7,112.1,9.7,6,10,2023-01-08T06:53:51,2023-01-08T17:08:29,0.55,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"62325099999,remote"
"Mansoura, Egypt",2023-01-09,19.5,10.1,13.8,19.5,10.1,13.8,10,80.4,0,0,0,,0,0,18,7.9,200.8,1018.1,53.9,22.1,134,11.6,6,10,2023-01-09T06:53:53,2023-01-09T17:09:18,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",2023-01-10,20.9,8.9,14,20.9,8.9,14,9.7,77.9,0,0,0,,0,0,11.9,5.4,176.5,1023,51.8,22.9,148,12.9,6,10,2023-01-10T06:53:53,2023-01-10T17:10:08,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
