name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Mansoura, Egypt",2023-11-01,31,21.5,24.9,31.2,21.5,25.1,19.6,75.6,0,0,0,,0,0,32,15.8,335.6,1015.2,50.9,24.1,180.4,15.5,7,30,2023-11-01T06:09:24,2023-11-01T17:06:24,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
"Mansoura, Egypt",2023-11-02,31.4,20,24.2,30.9,20,24.2,18,72.2,0,0,0,,0,0,31,13.7,325.7,1015.7,36.9,24.1,180.4,15.6,7,10,2023-11-02T06:10:12,2023-11-02T17:05:33,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Mansoura, Egypt",2023-11-03,31.8,18.5,23.7,30.8,18.5,23.6,17.3,71.8,0,0,0,,0,0,33.5,17.6,38.6,1015,30.5,24.1,178.8,15.4,7,10,2023-11-03T06:11:01,2023-11-03T17:04:44,0.68,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,
"Mansoura, Egypt",2023-11-04,32,19.1,24.1,32.9,19.1,24.4,19.1,76.5,0,0,0,,0,0,29.5,14,61.8,1013.5,22.9,24.1,179.3,15.5,7,10,2023-11-04T06:11:49,2023-11-04T17:03:56,0.71,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,
"Mansoura, Egypt",2023-11-05,33.6,19.9,24.1,33.2,19.9,24.4,18.2,73.5,0,0,0,,0,0,37.4,15.8,27.6,1012.9,46.9,24.1,175.1,15.2,7,10,2023-11-05T06:12:38,2023-11-05T17:03:10,0.75,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,
"Mansoura, Egypt",2023-11-06,31.2,18.3,23.3,29.7,18.3,23,14.8,63.2,0,0,0,,0,0,30.6,19.1,351.3,1015.3,2.4,24.1,176,15,6,10,2023-11-06T06:13:28,2023-11-06T17:02:24,0.78,Clear,Clear conditions throughout the day.,clear-day,
"Mansoura, Egypt",2023-11-07,30.2,19.2,23.1,29.3,19.2,23,16.4,69.3,0,0,0,,0,0,31,20.5,23.9,1016.5,0,24.1,172.8,15,6,10,2023-11-07T06:14:17,2023-11-07T17:01:40,0.81,Clear,Clear conditions throughout the day.,clear-day,
"Mansoura, Egypt",2023-11-08,30.2,18.9,23.2,30.1,18.9,23.2,17.2,71.5,0,0,0,,0,0,29.2,19.8,22.4,1016.5,0,24.1,169.5,14.7,6,10,2023-11-08T06:15:07,2023-11-08T17:00:58,0.84,Clear,Clear conditions throughout the day.,clear-day,
"Mansoura, Egypt",2023-11-09,31.3,19.3,23.6,30.7,19.3,23.6,17,69.4,0,0,0,,0,0,30.6,20.5,31.4,1016.5,0.6,24.1,169,14.4,6,10,2023-11-09T06:15:58,2023-11-09T17:00:17,0.87,Clear,Clear conditions throughout the day.,clear-day,
"Mansoura, Egypt",2023-11-10,32.2,19.4,24.1,31.1,19.4,23.9,16.3,65.8,0,4.8,0,,0,0,32.4,20.5,37.9,1016.5,11.3,24.1,165.5,14.1,6,10,2023-11-10T06:16:48,2023-11-10T16:59:37,0.9,Clear,Clear conditions throughout the day.,clear-day,
"Mansoura, Egypt",2023-11-11,31,18.9,23.5,29.7,18.9,23.3,15.6,64.6,0,9.5,0,,0,0,26.6,16.2,24.1,1016,57.2,24.1,150.6,13.2,5,10,2023-11-11T06:17:39,2023-11-11T16:58:59,0.94,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,
"Mansoura, Egypt",2023-11-12,27.6,18.3,21.9,27.8,18.3,21.9,14.9,66.5,0,9.5,0,,0,0,29.5,25.6,306.5,1016.1,100,24.1,144.9,12.6,5,10,2023-11-12T06:18:30,2023-11-12T16:58:23,0.97,Overcast,Cloudy skies throughout the day.,cloudy,
"Mansoura, Egypt",2023-11-13,27.4,17.6,21,26.6,17.6,21,10.2,52.3,0,9.5,0,,0,0,36.7,18,241.4,1013.2,64.9,24.1,152.8,13.2,6,10,2023-11-13T06:19:21,2023-11-13T16:57:48,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Mansoura, Egypt",2023-11-14,23.2,16.4,19.2,23.2,16.4,19.2,9,52.1,0.4,9.5,12.5,rain,0,0,44.6,29.9,273.2,1012.2,43.1,24.1,106.4,9.3,5,10,2023-11-14T06:20:13,2023-11-14T16:57:14,0.04,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,
"Mansoura, Egypt",2023-11-15,26.5,15.8,20.2,26.5,15.8,20.2,10.2,54.2,0,14.3,0,,0,0,28.2,18.7,300.9,1018.1,43,24.1,159.4,13.8,6,10,2023-11-15T06:21:04,2023-11-15T16:56:42,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
