name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Mansoura, Egypt",01/01/2024,22.5,9.8,15.8,22.5,9.8,15.8,11.6,78.7,0,0,0,rain,0,0,18.4,9,316.8,1021,43.5,21.7,138.9,12.1,6,10,2024-01-01T06:52:48,2024-01-01T17:02:58,0.67,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",02/01/2024,22.3,12.2,16.6,22.3,12.2,16.6,12.6,79.8,0,0,0,rain,0,0,31,15.1,301,1021.4,41.2,21.2,116.6,10,5,10,2024-01-02T06:53:02,2024-01-02T17:03:41,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",03/01/2024,23,10.7,16.1,23,10.7,16.1,11.1,75.7,0,0,0,,0,0,25.6,12.2,277.3,1020.9,53.2,22.3,136.7,11.8,6,10,2024-01-03T06:53:15,2024-01-03T17:04:25,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",04/01/2024,22.6,9.9,15.9,22.6,9.9,15.9,10.7,74,0,0,0,,0,0,24.8,11.9,283,1020.1,20.7,21.2,143.6,12.4,6,10,2024-01-04T06:53:25,2024-01-04T17:05:10,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",05/01/2024,22.6,9.7,15.9,22.6,8.8,15.8,10.1,71.5,0,0,0,,0,0,25.2,11.5,265.5,1020.8,40.4,23.5,141.7,12.1,6,10,2024-01-05T06:53:34,2024-01-05T17:05:56,0.8,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",06/01/2024,23.6,12.1,16.9,23.6,12.1,16.9,13.4,82.5,0,0,0,,0,0,20.2,9.4,81.3,1020.8,62.1,22.3,137.1,12,6,10,2024-01-06T06:53:42,2024-01-06T17:06:42,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",07/01/2024,23.9,10.2,16.1,23.9,10.2,16.1,11.9,79.1,0,0,0,,0,0,29.2,14,199.5,1017.3,15.1,20.8,147.8,12.7,6,10,2024-01-07T06:53:47,2024-01-07T17:07:30,0.87,Clear,Clear conditions throughout the day.,clear-day,"62325099999,remote"
"Mansoura, Egypt",08/01/2024,23.4,10.6,16.1,23.4,10.6,16.1,8.2,61.8,0,0,0,,0,0,19.1,8.3,236.4,1017.4,40.3,21.7,136.7,11.8,6,10,2024-01-08T06:53:51,2024-01-08T17:08:18,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
"Mansoura, Egypt",09/01/2024,20.4,6.9,13.2,20.4,5.6,13,2.7,52.2,0,0,0,,0,0,35.3,16.6,237.1,1016.5,8.3,21.8,152.4,13,6,10,2024-01-09T06:53:53,2024-01-09T17:09:07,0.93,Clear,Clear conditions throughout the day.,clear-day,"62325099999,remote"
"Mansoura, Egypt",10/01/2024,20.3,7.4,13.2,20.3,5.9,12.9,6,63.6,0,0,0,rain,0,0,38.9,18.4,249.7,1017.3,34.2,21.2,119.4,10.4,6,10,2024-01-10T06:53:54,2024-01-10T17:09:56,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"62325099999,remote"
